Start,End,mean,standard deviation,min,max,median,mode,skew,Kurtosis,80_percentile,60_percentile,40_percentile,20_percentile,RMS,IQR,count>mean,count<mean,range,COV_M,Participant,Activity
1.51077855725e+12,1.51077861725e+12,81.60344828,1.770833188,79,86,81.0,81,0.723397892,-0.132390875,83.0,82.0,81.0,80.0,81.62265997,2.75,0.413793103,0.586206897,7,3.190865094,20,Arithmetic
1.51077852725e+12,1.51077858725e+12,81.61666667,1.198494426,79,85,82.0,82,0.421051918,0.783782681,82.0,82.0,81.0,81.0,81.6254658,1.0,0.533333333,0.466666667,6,1.460734463,20,Arithmetic
1.51077849725e+12,1.51077855725e+12,82.57627119,0.924311743,81,85,83.0,83,0.291148486,0.153074912,83.0,83.0,82.0,82.0,82.58144413,1.0,0.542372881,0.457627119,4,0.869082408,20,Arithmetic
1.51077846725e+12,1.51077852725e+12,83.89473684,1.94380898,81,89,83.0,83,0.864900214,-0.11688066,86.0,84.0,83.0,82.2,83.91725248,2.0,0.421052632,0.578947368,8,3.845864662,20,Arithmetic
1.51077843725e+12,1.51077849725e+12,86.27586207,2.090974888,81,89,87.0,88,-0.978952371,0.047339528,88.0,87.0,86.0,84.4,86.3011967,2.75,0.586206897,0.413793103,8,4.448880823,20,Arithmetic
1.51077840725e+12,1.51077846725e+12,86.98275862,1.210462712,84,89,87.0,88,-0.433602706,-0.608608893,88.0,87.2,87.0,86.0,86.99118069,2.0,0.689655172,0.310344828,5,1.49092559,20,Arithmetic
1.51077837725e+12,1.51077843725e+12,86.54385965,2.973981768,82,96,86.0,85,1.450863618,2.415034204,88.0,87.0,85.4,85.0,86.59494333,2.0,0.438596491,0.561403509,14,9.002506266,20,Arithmetic
1.51077834725e+12,1.51077840725e+12,87.93103448,3.274046684,82,96,88.0,87,0.320626057,-0.123819812,90.0,89.0,87.0,85.0,87.99196672,4.0,0.551724138,0.448275862,14,10.90744102,20,NA
1.51077831725e+12,1.51077837725e+12,88.67241379,1.601593291,86,94,89.0,87,0.592792672,0.531278602,90.0,89.0,88.0,87.0,88.68687653,3.0,0.534482759,0.465517241,8,2.610102843,20,Speech
1.51077828725e+12,1.51077834725e+12,87.96666667,1.237829642,86,91,88.0,87,0.379581623,-0.43617381,89.0,88.0,87.0,87.0,87.97537534,2.0,0.583333333,0.416666667,5,1.55819209,20,Speech
1.51077825725e+12,1.51077831725e+12,88.15254237,1.447540981,86,92,88.0,88,0.70529032,0.314846824,89.0,88.0,88.0,87.0,88.16442651,2.0,0.322033898,0.677966102,6,2.131502046,20,Speech
1.51077822725e+12,1.51077828725e+12,89.41818182,1.648039155,86,92,90.0,90,-0.464802731,-0.663482575,91.0,90.0,89.0,88.0,89.43336778,3.0,0.581818182,0.418181818,6,2.766329966,20,Speech
