Start,End,mean,standard deviation,min,max,median,mode,skew,Kurtosis,80_percentile,60_percentile,40_percentile,20_percentile,RMS,IQR,count>mean,count<mean,range,COV_M,Participant,Activity
1.51017970228e+12,1.51017976228e+12,1.857694167,0.06857888,1.7154,1.9998,1.83445,1.806,0.445362869,-0.839707409,1.92524,1.86458,1.81976,1.7986,1.858959569,0.106,0.433333333,0.566666667,0.2844,0.004742584,17,Prepare Speech
1.51017967228e+12,1.51017973228e+12,1.8131025,0.104699738,1.6311,1.9998,1.7638,1.735,0.290009798,-1.317502878,1.92524,1.86458,1.74268,1.73138,1.816122989,0.176125,0.425,0.575,0.3687,0.011054153,17,Prepare Speech
1.51017964228e+12,1.51017970228e+12,1.732131667,0.030086691,1.6311,1.7846,1.73735,1.7516,-1.173953879,1.752405608,1.75652,1.74262,1.73288,1.70756,1.732392946,0.03705,0.616666667,0.383333333,0.1535,0.000912816,17,Prepare Speech
1.51017961228e+12,1.51017967228e+12,1.732883333,0.0636587,1.4671,1.8757,1.7415,1.7604,-0.952911511,4.313203314,1.76108,1.74844,1.72082,1.70158,1.734052213,0.05415,0.533333333,0.466666667,0.4086,0.004086484,17,Prepare Speech
1.51017958228e+12,1.51017964228e+12,1.570450833,0.208447022,1.0101,1.8757,1.623,1.0782,-0.887789661,0.348424566,1.74256,1.67508,1.53582,1.41194,1.584224094,0.270225,0.566666667,0.433333333,0.8656,0.043815288,17,Prepare Speech
1.51017955228e+12,1.51017961228e+12,1.352326667,0.15807061,1.0101,1.6687,1.37565,1.0782,-0.244841053,-0.481592863,1.45276,1.38772,1.35946,1.18772,1.361533595,0.22285,0.65,0.35,0.6586,0.025196287,17,NA
1.51017952228e+12,1.51017958228e+12,1.095230833,0.222896441,0.7419,1.4007,1.06335,1.0346,-0.062369527,-1.380362949,1.36436,1.17282,1.0307,0.85032,1.117682156,0.455575,0.483333333,0.516666667,0.6588,0.050100326,17,NA
1.51017949228e+12,1.51017955228e+12,0.795604167,0.133977466,0.6386,1.0597,0.7501,0.6392,0.718474716,-0.859682451,0.95012,0.77902,0.73046,0.69158,0.806806018,0.197,0.35,0.65,0.4211,0.018100801,17,NA
1.51017946228e+12,1.51017952228e+12,0.648490833,0.054120774,0.5836,0.8257,0.6407,0.5841,0.491839213,-0.409572231,0.69614,0.64728,0.6392,0.58584,0.65074528,0.106425,0.4,0.6,0.2421,0.002953672,17,NA
1.51017943228e+12,1.51017949228e+12,0.59943,0.020492554,0.5836,0.6611,0.59175,0.5841,1.556879673,0.949093059,0.60086,0.59434,0.58884,0.58538,0.599780184,0.01275,0.241666667,0.758333333,0.0775,0.000423474,17,NA
1.51017940228e+12,1.51017946228e+12,0.5955625,0.00568863,0.5841,0.6058,0.5946,0.5924,0.021163286,-0.894523261,0.6015,0.59684,0.59402,0.59066,0.595589667,0.0088,0.466666667,0.533333333,0.0217,3.26e-05,17,NA
1.51017937228e+12,1.51017943228e+12,0.599308333,0.004445496,0.5882,0.6089,0.5998,0.6029,-0.314767022,-0.732878576,0.6032,0.60134,0.5986,0.5953,0.599324821,0.0069,0.525,0.475,0.0207,1.99e-05,17,NA
1.51017934228e+12,1.51017940228e+12,0.598336667,0.00410396,0.5923,0.6099,0.59705,0.5961,0.848432831,0.104075623,0.60186,0.59884,0.5961,0.59486,0.598350741,0.006075,0.416666667,0.583333333,0.0176,1.7e-05,17,NA
