,Participant,activity,window_num,mean_ecg,median_ecg,variance_ecg,quartiled_ecg,range_ecg,max_ecg,min_ecg,80perc_ecg,20perc_ecg,HF_ecg,LF_ecg,LF/HF_ecg,RMSSD_ecg,SDSD_ecg,pNN20_ecg,pNN50_ecg,mean_GSR,sd_GSR,min_GSR,max_GSR,meidan_GSR,skew_GSR,Kurtosis_GSR,08per_GSR,20perc_GSR,mean_polar,sd_polar,min_polar,max_polar,meidan_polar,skew_polar,Kurtosis_polar,08per_polar,20perc_polar,combined
1225,20,rest3,1,0.798312413,0.941176471,0.575815453,0.266666667,1.0,0.583333333,0.451612903,0.623188406,0.785714286,0.699791462,0.598450586,0.321820597,0.602300919,0.442310003,0.811316013,0.522222222,0.119750273,0.125087461,0.090571529,0.164964056,0.115955647,0.621363985,0.353094969,0.140018232,0.101615119,0.144564481,0.322830517,0.05,0.25,0.090909091,0.634578864,0.208239333,0.193548387,0.1,20rest3
1226,20,rest3,2,0.837485353,0.921568627,0.17879724,0.333333333,0.4,0.5,0.774193548,0.628019324,0.857142857,0.714258674,0.152325195,0.081464532,0.856821822,0.891962599,0.83057426,0.661971831,0.095685398,0.182419947,0.063174269,0.155799386,0.07646589,0.729052565,0.271446667,0.1401732,0.071823047,0.129247472,0.175377237,0.1,0.194444444,0.090909091,0.732861274,0.36726122,0.122580645,0.1,20rest3
1227,20,rest3,3,0.867385234,0.901960784,0.357756839,0.433333333,0.5,0.583333333,0.774193548,0.676328502,0.85,0.723392431,0.273615854,0.142719138,0.929023106,0.725062568,0.790957296,0.661971831,0.039209841,0.001056288,0.032716142,0.02925968,0.040993234,0.166110605,0.605613379,0.032853236,0.047856771,0.16791634,0.129177565,0.2,0.194444444,0.136363636,0.728378466,0.376764637,0.161290323,0.15,20rest3
1228,20,rest3,4,0.875336076,0.980392157,0.107492252,0.183333333,0.1,0.5,0.967741935,0.574879227,0.917857143,0.375791486,0.241430068,0.244094287,0.551456331,0.462854953,0.7700169,0.537142857,0.024128206,0.005433035,0.032716142,0.025013663,0.022340725,0.62449823,0.354555192,0.020054695,0.029081608,0.141440951,0.076417002,0.15,0.111111111,0.136363636,0.382818963,0.111912949,0.129032258,0.15,20rest3
1229,20,rest3,5,0.992998905,0.980392157,0.698851475,0.4,1.0,1.0,0.774193548,0.961352657,0.946428571,0.029735066,0.760326361,0.913375297,0.353788188,0.316707011,0.381582,0.544927536,0.0,0.018431626,0.0,0.0,0.0,0.414059978,0.203005712,0.0,0.0,0.121325259,0.13582196,0.05,0.138888889,0.090909091,0.398660006,0.229956097,0.129032258,0.1,20rest3
1230,20,rest4,1,0.798312413,0.941176471,0.575815453,0.266666667,1.0,0.583333333,0.451612903,0.623188406,0.785714286,0.699791462,0.598450586,0.321820597,0.602300919,0.442310003,0.811316013,0.522222222,0.373345237,0.27486058,0.295197953,0.442090217,0.372345424,0.505860806,0.288524693,0.425059253,0.320873396,0.296703515,0.349154038,0.1,0.305555556,0.318181818,0.287000153,0.082621657,0.290322581,0.2,20rest4
1231,20,rest4,2,0.83553759,0.921568627,0.186937314,0.333333333,0.4,0.5,0.774193548,0.647342995,0.857142857,0.934953078,0.121989553,0.020029448,0.837431823,0.905920519,0.789234819,0.68115942,0.318750118,0.145789665,0.295197953,0.352293269,0.307320053,0.677617921,0.35326011,0.338769371,0.304703263,0.152752363,0.379864378,0.05,0.25,0.136363636,0.604960926,0.134850643,0.225806452,0.05,20rest4
1232,20,rest4,3,0.862601253,0.901960784,0.342919506,0.366666667,0.5,0.583333333,0.774193548,0.671497585,0.857142857,0.838722335,0.255459657,0.103760366,0.966480013,0.712081831,0.850382742,0.652777778,0.270302604,0.115712357,0.252044759,0.285660235,0.273209923,0.491255949,0.273276637,0.277429353,0.247998863,0.112837274,0.451109702,0.05,0.361111111,0.0,1.0,0.721554741,0.096774194,0.05,20rest4
1233,20,rest4,4,0.870064264,0.941176471,0.115503824,0.183333333,0.1,0.5,0.967741935,0.574879227,0.910714286,0.447289438,0.32209506,0.26556189,0.576595523,0.471701667,0.812371871,0.508108108,0.207246352,0.097311295,0.200010036,0.220498592,0.203791581,0.562032658,0.194454481,0.225041021,0.194581537,0.272278002,0.548530331,0.1,0.388888889,0.227272727,0.592235635,0.131316118,0.35483871,0.15,20rest4
1234,20,rest4,5,0.995259752,1.0,0.627206841,0.4,1.0,1.0,0.774193548,0.913043478,0.964285714,0.0,0.811356475,1.0,0.191027306,0.075923874,0.330206576,0.38630137,0.239579633,0.299610811,0.200010036,0.318241056,0.194230408,0.682305794,0.163077747,0.303928897,0.191824942,0.320717158,0.355299036,0.3,0.388888889,0.295454545,0.766037415,0.374994809,0.264516129,0.29,20rest4
