Start,End,mean,standard deviation,min,max,median,mode,skew,Kurtosis,80_percentile,60_percentile,40_percentile,20_percentile,RMS,IQR,count>mean,count<mean,range,COV_M,pNN50,pNN20,RMSSD,nn50,nn20,SDSD,zcross,Lf,MF,HF,Lf/HF,Count,Participant,Activity
1.50E+12,1.50E+12,640.5222222,42.74919825,532,722,645,605,-0.233325446,-0.586380138,677.8,657,629,605,641.9472027,61,0.544444444,0.455555556,190,1848.027591,0.011111111,0.188888889,59.54190656,1,17,56.16695776,14,65.73333333,64.32222222,64.05555556,1.026192541,0.960783333,2,Cry-Rest
1.50E+12,1.50E+12,643.9,35.90297109,561,766,641,629,0.288065579,0.677737871,669.8,653,633,617,644.9001732,43.25,0.488888889,0.511111111,205,1303.506742,0.011111111,0.2,21.27338286,1,18,15.36225367,17,62.26666667,62.58888889,65.91111111,0.944706676,0.96585,2,Cry-Rest
1.50E+12,1.50E+12,662.9431818,40.22475435,561,766,665,665,-0.367572466,-0.002476545,697,677.8,660.2,629,664.1623997,53,0.545454545,0.454545455,205,1636.628919,0.011363636,0.238636364,20.78796611,1,21,14.65430014,13,71.15909091,70.78409091,70.01136364,1.016393443,0.972316667,2,Cry-Rest
1.50E+12,1.50E+12,676.8255814,32.11287935,597,737,681,685,-0.266008248,-0.358075672,705,685,669,653,677.586972,43,0.569767442,0.430232558,140,1043.36922,0.046511628,0.244186047,22.21807501,4,21,15.08781927,17,67.31395349,59.90697674,74.6627907,0.901572964,0.970116667,2,Cry-Rest
1.50E+12,1.50E+12,699.7195122,45.37063475,597,781,705,681,-0.314064166,-0.709557553,737,721,689,657.8,701.188912,63,0.536585366,0.463414634,184,2083.90801,0.06097561,0.304878049,24.9470325,5,25,16.55973925,15,73.17073171,73.03658537,69.03658537,1.059883413,0.956283333,2,NA
1.50E+12,1.50E+12,703.1309524,63.02716341,588,861,717,689,0.156546373,-0.169902359,745,721.8,694.6,633,705.9501112,93.75,0.55952381,0.44047619,273,4020.28385,0.071428571,0.345238095,28.03139376,6,29,19.71409082,10,58.03571429,74.77380952,66.63095238,0.871002323,0.984383333,2,Cry
1.50E+12,1.50E+12,672.5287356,60.59889591,573,861,673,633,0.926989459,1.347966035,717,691.4,650.6,617.8,675.2533794,80,0.505747126,0.494252874,288,3714.92649,0.034482759,0.344827586,26.87222133,3,30,18.42811594,10,73.12643678,70.63218391,58.56321839,1.248675172,0.975166667,2,NA
1.50E+12,1.50E+12,666.1235955,42.05555989,573,753,673,697,-0.283238287,-0.547646239,697,681,661,631.4,667.4498592,64,0.561797753,0.438202247,180,1788.768641,0.011235955,0.314606742,21.58282145,1,28,12.97134079,13,66.51685393,63.60674157,65.71910112,1.012138827,0.988083333,2,NA
1.50E+12,1.50E+12,664.908046,35.107923,581,789,665,685,0.475782921,1.185052694,692.2,671.4,653,637.8,665.8342706,44,0.517241379,0.482758621,208,1246.898423,0.022988506,0.24137931,22.26583575,2,21,15.03984252,17,68.37931034,68.83908046,63.77011494,1.072278298,0.964116667,2,Rest3
1.50E+12,1.50E+12,669.7790698,32.01031853,609,789,665,649,0.927673289,1.251515564,693,673,657,641,670.5435577,47,0.418604651,0.581395349,180,1036.715321,0.034883721,0.290697674,22.7305647,3,25,14.77477837,17,72.95348837,59.3372093,72.89534884,1.000797575,0.960016667,2,Rest3
1.50E+12,1.50E+12,659.5227273,38.71662119,564,737,661,693,-0.155135431,-0.624541221,693,673,649,622.6,660.6581601,57,0.511363636,0.488636364,173,1516.206374,0.045454545,0.375,23.39250526,4,33,13.24865168,12,63,69.14772727,70.73863636,0.89060241,0.9673,2,Rest3
1.50E+12,1.50E+12,679.2413793,52.24147415,564,842,681,685,0.305506378,0.496801743,716.2,687.4,670.6,629.8,681.2474022,58,0.528735632,0.471264368,278,2760.906175,0.022988506,0.344827586,22.64539586,2,30,12.94394454,13,70.72413793,72.47126437,69.94252874,1.011175021,0.9849,2,Rest3
